     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
        12,         0,         0,    6.12,beam64_640iters,a99589b5a758bdf59a9b387b1732d487392c442f4a1a664babf6596f8754dea7,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.002,""syndrome_rounds"":10,""x_or_z"":""xyz_z""}",
         3,         0,         0,    4.63,beam64_640iters,4e56375f5359fad7d2ff355ff4a1f84f67bc21a68b76055a2df5bb15265af831,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.003,""syndrome_rounds"":10,""x_or_z"":""xyz_z""}",
         1,         0,         0,    8.93,bp30+osd,a3fe6eb961f6c36113c37a48fa1993f2d10eb507107995b90738ab41b38070fa,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.003,""syndrome_rounds"":10,""x_or_z"":""xyz_x""}",
         1,         0,         0,    9.71,bp30+osd,2dfa295972ff3f36fe5ee07becf1c8a34f062d8fe286ecce339e92d9e11e9e87,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.003,""syndrome_rounds"":10,""x_or_z"":""xyz_z""}",
         1,         0,         0,    7.64,bp30+osd,6057dfce1cc497d1aed2874f085f4d3987af828cfb9d669ae3f438efa8f0cfbf,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.002,""syndrome_rounds"":10,""x_or_z"":""xyz_z""}",
         1,         0,         0,    12.0,bp30+osd,7efb02871d1796b749dc59b1901f515d51b7aad67453fe2bf39537062a84d6da,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.004,""syndrome_rounds"":10,""x_or_z"":""xyz_x""}",
         6,         0,         0,    4.30,beam64_640iters,4e56375f5359fad7d2ff355ff4a1f84f67bc21a68b76055a2df5bb15265af831,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.003,""syndrome_rounds"":10,""x_or_z"":""xyz_z""}",
         1,         1,         0,    13.1,bp30+osd,1b824edc254fa50055f2070d1bc2078a5a52e7eb507f80594df2e0b0c293f676,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.004,""syndrome_rounds"":10,""x_or_z"":""xyz_z""}",
        19,         0,         0,    9.09,beam64_640iters,bdd59aba34a17cd74a2b71938c89d533856e31f2f4ba1d1c0f8ad1d97b6aa79c,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.002,""syndrome_rounds"":10,""x_or_z"":""xyz_x""}",
         4,         0,         0,    15.8,bp30+osd,85926fbc4284c0877bdd8310af296167b386fba8607baa784ed702732fdcfb1b,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.002,""syndrome_rounds"":10,""x_or_z"":""xyz_x""}",
        21,         0,         0,    8.57,beam64_640iters,a99589b5a758bdf59a9b387b1732d487392c442f4a1a664babf6596f8754dea7,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.002,""syndrome_rounds"":10,""x_or_z"":""xyz_z""}",
         1,         0,         0,    7.93,bp30+osd,6057dfce1cc497d1aed2874f085f4d3987af828cfb9d669ae3f438efa8f0cfbf,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.002,""syndrome_rounds"":10,""x_or_z"":""xyz_z""}",
        11,         0,         0,    5.99,beam64_640iters,4e56375f5359fad7d2ff355ff4a1f84f67bc21a68b76055a2df5bb15265af831,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.003,""syndrome_rounds"":10,""x_or_z"":""xyz_z""}",
         1,         0,         0,    9.17,bp30+osd,2dfa295972ff3f36fe5ee07becf1c8a34f062d8fe286ecce339e92d9e11e9e87,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.003,""syndrome_rounds"":10,""x_or_z"":""xyz_z""}",
         1,         1,         0,    9.62,bp30+osd,a3fe6eb961f6c36113c37a48fa1993f2d10eb507107995b90738ab41b38070fa,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.003,""syndrome_rounds"":10,""x_or_z"":""xyz_x""}",
         1,         1,         0,    8.00,bp30+osd,7efb02871d1796b749dc59b1901f515d51b7aad67453fe2bf39537062a84d6da,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.004,""syndrome_rounds"":10,""x_or_z"":""xyz_x""}",
         1,         0,         0,    7.54,bp30+osd,1b824edc254fa50055f2070d1bc2078a5a52e7eb507f80594df2e0b0c293f676,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.004,""syndrome_rounds"":10,""x_or_z"":""xyz_z""}",
        17,         0,         0,    7.67,beam64_640iters,a99589b5a758bdf59a9b387b1732d487392c442f4a1a664babf6596f8754dea7,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.002,""syndrome_rounds"":10,""x_or_z"":""xyz_z""}",
        14,         0,         0,    9.69,beam64_640iters,bdd59aba34a17cd74a2b71938c89d533856e31f2f4ba1d1c0f8ad1d97b6aa79c,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.002,""syndrome_rounds"":10,""x_or_z"":""xyz_x""}",
         1,         0,         0,    7.66,bp30+osd,6057dfce1cc497d1aed2874f085f4d3987af828cfb9d669ae3f438efa8f0cfbf,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.002,""syndrome_rounds"":10,""x_or_z"":""xyz_z""}",
         1,         0,         0,    7.20,bp30+osd,a3fe6eb961f6c36113c37a48fa1993f2d10eb507107995b90738ab41b38070fa,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.003,""syndrome_rounds"":10,""x_or_z"":""xyz_x""}",
         1,         0,         0,    7.36,bp30+osd,2dfa295972ff3f36fe5ee07becf1c8a34f062d8fe286ecce339e92d9e11e9e87,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.003,""syndrome_rounds"":10,""x_or_z"":""xyz_z""}",
        14,         0,         0,    8.91,beam64_640iters,4e56375f5359fad7d2ff355ff4a1f84f67bc21a68b76055a2df5bb15265af831,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.003,""syndrome_rounds"":10,""x_or_z"":""xyz_z""}",
         2,         0,         0,    12.7,bp30+osd,85926fbc4284c0877bdd8310af296167b386fba8607baa784ed702732fdcfb1b,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.002,""syndrome_rounds"":10,""x_or_z"":""xyz_x""}",
         1,         0,         0,    9.57,bp30+osd,7efb02871d1796b749dc59b1901f515d51b7aad67453fe2bf39537062a84d6da,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.004,""syndrome_rounds"":10,""x_or_z"":""xyz_x""}",
         1,         0,         0,    7.48,bp30+osd,1b824edc254fa50055f2070d1bc2078a5a52e7eb507f80594df2e0b0c293f676,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.004,""syndrome_rounds"":10,""x_or_z"":""xyz_z""}",
         1,         0,         0,    5.28,bp30+osd,6057dfce1cc497d1aed2874f085f4d3987af828cfb9d669ae3f438efa8f0cfbf,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.002,""syndrome_rounds"":10,""x_or_z"":""xyz_z""}",
         4,         0,         0,    23.2,beam64_640iters,f92bfc37ea7346fe7ff4938dbec4804e99bbe890f783539f9f025bc5ce13d810,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.003,""syndrome_rounds"":10,""x_or_z"":""xyz_x""}",
         1,         0,         0,    5.54,bp30+osd,a3fe6eb961f6c36113c37a48fa1993f2d10eb507107995b90738ab41b38070fa,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.003,""syndrome_rounds"":10,""x_or_z"":""xyz_x""}",
         1,         0,         0,    6.69,beam64_640iters,8cc9b73dac566276603cce0aee31092520aebdaf7d33f5cfc01bcec13336b8b8,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.004,""syndrome_rounds"":10,""x_or_z"":""xyz_z""}",
         1,         0,         0,    6.67,bp30+osd,2dfa295972ff3f36fe5ee07becf1c8a34f062d8fe286ecce339e92d9e11e9e87,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.003,""syndrome_rounds"":10,""x_or_z"":""xyz_z""}",
         1,         0,         0,    2.05,beam64_640iters,8cc9b73dac566276603cce0aee31092520aebdaf7d33f5cfc01bcec13336b8b8,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.004,""syndrome_rounds"":10,""x_or_z"":""xyz_z""}",
         1,         0,         0,    6.35,bp30+osd,85926fbc4284c0877bdd8310af296167b386fba8607baa784ed702732fdcfb1b,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.002,""syndrome_rounds"":10,""x_or_z"":""xyz_x""}",
         1,         0,         0,   0.851,beam64_640iters,8cc9b73dac566276603cce0aee31092520aebdaf7d33f5cfc01bcec13336b8b8,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.004,""syndrome_rounds"":10,""x_or_z"":""xyz_z""}",
         1,         0,         0,    8.77,bp30+osd,d92a243cb3c37fc126090bb656263b53b062e61dd33d6b94b9ece081894e7601,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""xyz_x""}",
         1,         0,         0,    7.33,bp30+osd,7efb02871d1796b749dc59b1901f515d51b7aad67453fe2bf39537062a84d6da,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.004,""syndrome_rounds"":10,""x_or_z"":""xyz_x""}",
         1,         0,         0,    7.22,bp30+osd,1b824edc254fa50055f2070d1bc2078a5a52e7eb507f80594df2e0b0c293f676,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.004,""syndrome_rounds"":10,""x_or_z"":""xyz_z""}",
         1,         0,         0,    1.64,beam64_640iters,8cc9b73dac566276603cce0aee31092520aebdaf7d33f5cfc01bcec13336b8b8,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.004,""syndrome_rounds"":10,""x_or_z"":""xyz_z""}",
         1,         0,         0,    6.85,bp30+osd,6057dfce1cc497d1aed2874f085f4d3987af828cfb9d669ae3f438efa8f0cfbf,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.002,""syndrome_rounds"":10,""x_or_z"":""xyz_z""}",
         1,         0,         0,    39.7,beam64_640iters,516a63de5314a33d227139535ddc591d06b350b4fe093073c091dec6b2f19983,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.004,""syndrome_rounds"":10,""x_or_z"":""xyz_x""}",
         1,         0,         0,    5.66,bp30+osd,2dfa295972ff3f36fe5ee07becf1c8a34f062d8fe286ecce339e92d9e11e9e87,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.003,""syndrome_rounds"":10,""x_or_z"":""xyz_z""}",
         1,         0,         0,   0.511,beam64_640iters,516a63de5314a33d227139535ddc591d06b350b4fe093073c091dec6b2f19983,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.004,""syndrome_rounds"":10,""x_or_z"":""xyz_x""}",
         1,         0,         0,    2.10,beam64_640iters,8cc9b73dac566276603cce0aee31092520aebdaf7d33f5cfc01bcec13336b8b8,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.004,""syndrome_rounds"":10,""x_or_z"":""xyz_z""}",
         1,         0,         0,    7.44,bp30+osd,a3fe6eb961f6c36113c37a48fa1993f2d10eb507107995b90738ab41b38070fa,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.003,""syndrome_rounds"":10,""x_or_z"":""xyz_x""}",
        17,         0,         0,    11.9,beam64_640iters,4e56375f5359fad7d2ff355ff4a1f84f67bc21a68b76055a2df5bb15265af831,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.003,""syndrome_rounds"":10,""x_or_z"":""xyz_z""}",
         6,         0,         0,    8.44,beam64_640iters,f92bfc37ea7346fe7ff4938dbec4804e99bbe890f783539f9f025bc5ce13d810,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.003,""syndrome_rounds"":10,""x_or_z"":""xyz_x""}",
         1,         0,         0,    1.52,beam64_640iters,516a63de5314a33d227139535ddc591d06b350b4fe093073c091dec6b2f19983,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.004,""syndrome_rounds"":10,""x_or_z"":""xyz_x""}",
         1,         0,         0,    1.60,beam64_640iters,8cc9b73dac566276603cce0aee31092520aebdaf7d33f5cfc01bcec13336b8b8,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.004,""syndrome_rounds"":10,""x_or_z"":""xyz_z""}",
         1,         0,         0,    7.17,bp30+osd,85926fbc4284c0877bdd8310af296167b386fba8607baa784ed702732fdcfb1b,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.002,""syndrome_rounds"":10,""x_or_z"":""xyz_x""}",
         1,         0,         0,    5.45,bp30+osd,6057dfce1cc497d1aed2874f085f4d3987af828cfb9d669ae3f438efa8f0cfbf,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.002,""syndrome_rounds"":10,""x_or_z"":""xyz_z""}",
